time,temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),relative_humidity_2m_mean (%),pressure_msl_mean (hPa)
2023-04-26,11.8,18.1,3.2,0.10,0.10,0.00,21.6,45.7,16.60,41046.02,70,1005.0
2023-04-27,6.9,9.3,-0.2,2.10,2.10,0.00,18.0,35.3,7.72,9007.53,88,1008.2
2023-04-28,5.8,6.8,-1.5,1.50,1.50,0.00,14.4,36.4,16.54,42650.91,73,1014.3
2023-04-29,4.6,4.6,-2.5,0.00,0.00,0.00,18.7,36.4,18.39,42799.47,74,1015.2
2023-04-30,5.5,4.6,-2.2,4.20,4.20,0.00,24.5,46.1,6.97,17065.49,78,1012.1
2023-05-01,5.7,5.3,-2.2,0.00,0.00,0.00,17.6,37.4,17.76,38047.50,70,1013.3
2023-05-02,9.1,9.6,0.4,2.30,2.30,0.00,33.8,60.8,16.37,36829.34,71,1010.8
2023-05-03,6.7,5.4,-2.3,0.30,0.30,0.00,27.0,49.7,23.36,51290.36,61,1015.6
2023-05-04,3.6,1.2,-3.4,1.10,1.10,0.00,20.2,42.1,17.20,38105.27,70,1021.9
2023-05-05,1.9,-0.3,-4.7,0.30,0.30,0.00,15.8,33.1,14.92,35064.05,70,1026.0
2023-05-06,3.2,2.1,-4.3,0.00,0.00,0.00,13.3,29.9,21.21,51724.73,57,1029.2
2023-05-07,5.7,6.5,-3.0,0.00,0.00,0.00,15.1,32.8,21.91,55118.89,58,1030.7
2023-05-08,7.6,9.1,-2.5,0.00,0.00,0.00,11.9,28.4,21.19,53614.41,53,1031.3
2023-05-09,9.6,13.2,-1.7,0.00,0.00,0.00,14.0,32.8,24.52,54530.89,56,1027.8
2023-05-10,11.3,15.1,0.7,0.00,0.00,0.00,13.3,28.8,25.30,57093.19,56,1024.2
2023-05-11,11.5,15.4,0.6,0.00,0.00,0.00,14.0,29.2,21.40,54060.29,61,1024.8
2023-05-12,13.7,15.2,4.3,0.00,0.00,0.00,17.6,37.4,26.06,57357.63,51,1025.2
2023-05-13,15.3,19.3,6.8,0.00,0.00,0.00,12.6,30.2,24.26,54728.37,59,1025.6
2023-05-14,13.7,18.4,4.9,0.10,0.10,0.00,9.0,19.1,17.87,36021.79,65,1025.7
2023-05-15,15.8,19.1,8.0,0.00,0.00,0.00,12.6,24.8,20.71,51882.73,56,1021.5
2023-05-16,15.2,17.4,6.7,0.20,0.20,0.00,23.0,47.5,16.00,32071.38,58,1015.9
2023-05-17,15.6,16.2,10.3,0.30,0.30,0.00,22.3,42.5,13.94,28540.15,66,1014.0
2023-05-18,11.7,12.0,4.9,2.80,2.80,0.00,18.4,38.2,23.17,48074.70,64,1020.4
2023-05-19,10.8,12.3,2.7,0.00,0.00,0.00,17.3,38.5,27.54,57600.00,59,1029.8
2023-05-20,12.7,16.6,2.1,0.00,0.00,0.00,13.0,29.2,26.67,57600.00,55,1032.3
2023-05-21,14.0,18.6,5.3,0.00,0.00,0.00,13.0,28.1,19.93,45803.87,62,1028.6
2023-05-22,12.1,16.5,6.0,10.20,10.20,0.00,10.8,42.8,9.09,13583.93,82,1022.6
2023-05-23,14.6,19.9,7.6,0.00,0.00,0.00,12.6,28.4,23.05,44960.97,80,1018.8
2023-05-24,16.5,22.1,6.8,0.00,0.00,0.00,10.8,22.7,26.00,55547.16,67,1018.0
2023-05-25,17.0,22.2,8.7,0.30,0.30,0.00,29.2,58.0,21.47,43575.00,68,1014.4
2023-05-26,14.3,15.5,8.3,0.10,0.10,0.00,12.2,51.5,24.21,44741.17,55,1014.0
2023-05-27,11.0,8.9,4.6,0.00,0.00,0.00,17.6,36.4,18.15,47638.55,56,1020.4
2023-05-28,11.6,14.7,0.8,0.00,0.00,0.00,11.9,28.4,29.10,58144.77,53,1021.0
2023-05-29,12.6,14.2,5.2,2.20,2.20,0.00,17.6,42.1,21.39,49437.05,52,1015.9
2023-05-30,10.7,11.8,2.2,0.00,0.00,0.00,15.5,37.8,21.72,38137.12,52,1017.7
2023-05-31,11.8,14.8,3.0,0.60,0.60,0.00,20.2,41.8,18.44,36148.98,63,1013.1
2023-06-01,11.0,10.0,3.8,0.00,0.00,0.00,22.7,47.2,21.39,47077.00,62,1007.5
2023-06-02,7.9,7.1,-1.0,0.00,0.00,0.00,18.0,39.2,25.21,58486.15,50,1012.6
2023-06-03,7.8,8.3,-2.0,0.00,0.00,0.00,16.9,36.4,20.12,53149.18,64,1015.0
2023-06-04,9.8,11.3,3.1,1.80,1.80,0.00,16.9,34.6,13.14,22736.67,74,1014.2
2023-06-05,12.4,13.0,4.2,0.00,0.00,0.00,22.0,45.4,22.63,56335.62,63,1016.0
2023-06-06,14.6,16.4,6.2,0.90,0.90,0.00,16.2,35.3,27.41,54297.07,52,1017.8
2023-06-07,13.4,14.0,7.8,0.40,0.40,0.00,17.6,38.5,29.29,55736.68,63,1017.8
2023-06-08,13.9,18.7,2.2,0.00,0.00,0.00,17.3,36.7,28.37,53778.39,54,1017.7
2023-06-09,11.6,11.5,5.6,1.80,1.80,0.00,16.6,36.0,23.25,54577.71,64,1020.5
2023-06-10,10.8,13.1,1.8,0.00,0.00,0.00,15.1,33.1,26.99,62090.03,56,1029.0
2023-06-11,12.0,17.1,0.2,0.00,0.00,0.00,10.1,23.0,29.61,62675.63,51,1031.6
2023-06-12,15.1,20.4,3.1,0.00,0.00,0.00,11.9,24.1,29.97,62278.60,49,1028.6
